,Affiliation,Affiliation_2,Affiliation_3,lng,lat,id,Area_L1,Country,Area_L2
383," Universidade Estadual de Maringá, Maringá - PR, Brazil"," Maringá - PR, Brazil", Brazil,-51.9399913,-23.404717,ChIJ-VgjmtPW7JQRHlx9q0oqp5U,PR,BR,Maringá
384," Departamento de Farmácia e Farmacologia, Universidade Estadual de Maringá, Av. Colombo, 5790, 87020-900"," Universidade Estadual de Maringá, Av. Colombo, 5790, 87020-900"," Av. Colombo, 5790, 87020-900",-51.9399913,-23.404717,ChIJ-VgjmtPW7JQRHlx9q0oqp5U,PR,BR,Maringá
385,"Universidade Norte do Paraná, UNOPAR, Arapongas, PR, Brazil"," UNOPAR, Arapongas, PR, Brazil"," Arapongas, PR, Brazil",-51.4499426,-23.3883544,ChIJYQAAAHOk7JQR9N_xbqwSB8Q,PR,BR,Arapongas
386," EMBRAPA Caprinos e Ovinos, Sobral, CE, Brazil"," Sobral, CE, Brazil"," CE, Brazil",-40.3437012,-3.7509902,ChIJw66np8W46gcR80Y1MW7EQEE,CE,BR,Sobral
387," Universidade de Cuiabá, UNIC, Cuiabá, MT, Brazil"," UNIC, Cuiabá, MT, Brazil"," Cuiabá, MT, Brazil",-56.0867314,-15.6247852,ChIJW3-eYyGunZMRt4rIUaYtlAE,MT,BR,Cuiabá
388," Universidade do Oeste Paulista, UNOESTE, Presidente Prudente, SP, Brazil"," UNOESTE, Presidente Prudente, SP, Brazil"," Presidente Prudente, SP, Brazil",-51.4028636,-22.1332872,ChIJcUy3qVv0k5QR09dOk8DiBu4,SP,BR,
389," Programa PNPD/CAPES, Universidade Estadual de Londrina UEL, Londrina, PR, Brazil"," Universidade Estadual de Londrina UEL, Londrina, PR, Brazil"," Londrina, PR, Brazil",-51.196919,-23.3234079,ChIJ1wqqp6Zc65QRa_8Mc7kfzQg,PR,BR,Londrina
390,"Department of Chemical Engineering, Universidade Estadual de Maringá, 87020-900 Maringá, Brazil"," Universidade Estadual de Maringá, 87020-900 Maringá, Brazil"," 87020-900 Maringá, Brazil",-51.9399913,-23.404717,ChIJ-VgjmtPW7JQRHlx9q0oqp5U,PR,BR,Maringá
391," Chemical Engineering Program, Texas AandM University at Qatar, P.O. Box 23874, Doha, Qatar"," Texas AandM University at Qatar, P.O. Box 23874, Doha, Qatar"," P.O. Box 23874, Doha, Qatar",51.4393382,25.3148002,ChIJ-YtWevjbRT4R5lTSDigDIWk,Al Rayyan Municipality,QA,
392,"Departamento de Zoologia, Universidade Federal do Paraná (UFPR), CP 19020, Curitiba, PR, Brazil"," Universidade Federal do Paraná (UFPR), CP 19020, Curitiba, PR, Brazil"," CP 19020, Curitiba, PR, Brazil",-49.2617658,-25.4269081,ChIJzeEcgT_k3JQRwpDc4oINPOg,PR,BR,
393," Curso Superior de Tecnologia em Aquicultura, UFPR, Palotina, PR, Brazil"," UFPR, Palotina, PR, Brazil"," Palotina, PR, Brazil",-53.843157,-24.296142,ChIJIzImOxVu85QR-TadDFaNwTw,PR,BR,Palotina
394,", UFPR, Palotina, PR, Brazil"," UFPR, Palotina, PR, Brazil"," Palotina, PR, Brazil",-53.843157,-24.296142,ChIJIzImOxVu85QR-TadDFaNwTw,PR,BR,Palotina
395," Departamento de Zootecnia, Universidade Estadual de Maringá (UEM), Maringá, PR, Brazil"," Universidade Estadual de Maringá (UEM), Maringá, PR, Brazil"," Maringá, PR, Brazil",-51.94121,-23.404379,ChIJvXInMczW7JQRlbZ6NQ70gdw,PR,BR,Maringá
396,"Laboratory of Food Biochemistry, Chemistry Department, UEM–State University of Maringá, Av. Colombo, 5790, Maringá, Paraná, Brazil"," Chemistry Department, UEM–State University of Maringá, Av. Colombo, 5790, Maringá, Paraná, Brazil"," UEM–State University of Maringá, Av. Colombo, 5790, Maringá, Paraná, Brazil",-51.9399913,-23.404717,ChIJ-VgjmtPW7JQRHlx9q0oqp5U,PR,BR,Maringá
397,"Departamento de Bioquímica e Biologia Molecular, Universidade Federal do Paraná, Cx.P. 19046 Centro Politécnico, Curitiba, Paraná, Brazil"," Universidade Federal do Paraná, Cx.P. 19046 Centro Politécnico, Curitiba, Paraná, Brazil"," Cx.P. 19046 Centro Politécnico, Curitiba, Paraná, Brazil",-49.2617658,-25.4269081,ChIJzeEcgT_k3JQRwpDc4oINPOg,PR,BR,
398," Departamento de Química, Universidade Federal do Paraná, Cx.P. 19081 Centro Politécnico, Curitiba, Paraná, Brazil"," Universidade Federal do Paraná, Cx.P. 19081 Centro Politécnico, Curitiba, Paraná, Brazil"," Cx.P. 19081 Centro Politécnico, Curitiba, Paraná, Brazil",,,,,,
399,"Department of Pharmacology and Therapeutics, State University of Maringá, 87020-900 Maringá, PR, Brazil"," State University of Maringá, 87020-900 Maringá, PR, Brazil"," 87020-900 Maringá, PR, Brazil",-51.9399913,-23.404717,ChIJ-VgjmtPW7JQRHlx9q0oqp5U,PR,BR,Maringá
400,"Departamento de Química, CCE, Universidade Estadual de Londrina, 86051-990 Londrina, Parana, Brazil"," CCE, Universidade Estadual de Londrina, 86051-990 Londrina, Parana, Brazil"," Universidade Estadual de Londrina, 86051-990 Londrina, Parana, Brazil",-51.2003445,-23.3267498,ChIJWXSkvZ9c65QRDki1PhoTOGI,PR,BR,Londrina
401,"Universidade Estadual de Londrina, 86051-990 Londrina, Parana, Brazil"," 86051-990 Londrina, Parana, Brazil"," Parana, Brazil",-51.196919,-23.3234079,ChIJ1wqqp6Zc65QRa_8Mc7kfzQg,PR,BR,Londrina
402," Biorefining Research Institute, Lakehead University, Thunder Bay, ON P7B 5E1, Canada"," Lakehead University, Thunder Bay, ON P7B 5E1, Canada"," Thunder Bay, ON P7B 5E1, Canada",-89.2618968,48.4214812,ChIJse_yhL4hWU0RDINHCb2gdDY,ON,CA,Thunder Bay District
403,"a, CCE", CCE,,-83.3581515,42.5085703,ChIJyWPCaZiwJIgRhV97VLd5pI4,MI,US,Oakland County
404," Departamento de Bioquímica e Biotecnologia, CCE-Universidade Estadual de Londrina, 86051-990 Londrina, Parana, Brazil"," CCE-Universidade Estadual de Londrina, 86051-990 Londrina, Parana, Brazil"," 86051-990 Londrina, Parana, Brazil",-51.2003445,-23.3267498,ChIJWXSkvZ9c65QRDki1PhoTOGI,PR,BR,Londrina
405," Departamento de Ciências Biológicas, Universidade Estadual Paulista Júlio de Mesquita Filho (UNESP), 19806-900 Assis, São Paulo, Brazil"," Universidade Estadual Paulista Júlio de Mesquita Filho (UNESP), 19806-900 Assis, São Paulo, Brazil"," 19806-900 Assis, São Paulo, Brazil",-50.4374706,-22.6495713,ChIJxTp8uds7lZQRdcE4aJd5H9Y,SP,BR,Assis
406,"Department of Biochemistry and Biotechnology, CCE, State University of Londrina, PO BOX 6001, 86051-990 Londrina, PR, Brazil"," CCE, State University of Londrina, PO BOX 6001, 86051-990 Londrina, PR, Brazil"," State University of Londrina, PO BOX 6001, 86051-990 Londrina, PR, Brazil",-51.196919,-23.3234079,ChIJ1wqqp6Zc65QRa_8Mc7kfzQg,PR,BR,Londrina
407,"Universidade Estadual de Maringá, Núcleo de Pesquisas em Limnologia, Ictiologia e Aqüicultura, Maringá, PR, Brazil"," Núcleo de Pesquisas em Limnologia, Ictiologia e Aqüicultura, Maringá, PR, Brazil"," Ictiologia e Aqüicultura, Maringá, PR, Brazil",-51.9386437,-23.4031699,ChIJxw6Q7szW7JQRld6HFoG1qVk,PR,BR,Maringá
408," Centro Integrado de Ensino Superior, Campo Mourão, PR, Brazil"," Campo Mourão, PR, Brazil"," PR, Brazil",-52.3809041,-24.0482719,ChIJGzn4cUB17ZQRg-bj3TKTZ2w,PR,BR,Campo Mourão
409," Universidade Estadual de Maringá, Departamento de Biologia Celular e Genética, Av. Colombo 5790, 87020-900 Maringá, PR, Brazil"," Departamento de Biologia Celular e Genética, Av. Colombo 5790, 87020-900 Maringá, PR, Brazil"," Av. Colombo 5790, 87020-900 Maringá, PR, Brazil",-51.9399913,-23.404717,ChIJ-VgjmtPW7JQRHlx9q0oqp5U,PR,BR,Maringá
410,"Univ. Estadual de Maringá, Depto. de Biol. Cel./Genética, Av. Colombo 5790, 87020-900 Maringá, Brazil"," Depto. de Biol. Cel./Genética, Av. Colombo 5790, 87020-900 Maringá, Brazil"," Av. Colombo 5790, 87020-900 Maringá, Brazil",-51.9399913,-23.404717,ChIJ-VgjmtPW7JQRHlx9q0oqp5U,PR,BR,Maringá
411,"Dept. Tecnol. Alimentos Med., Cent. Ci. Rurais Tecnol., Fund. Univ. Estadual, Londrina, Brazil"," Cent. Ci. Rurais Tecnol., Fund. Univ. Estadual, Londrina, Brazil"," Fund. Univ. Estadual, Londrina, Brazil",-51.196919,-23.3234079,ChIJ1wqqp6Zc65QRa_8Mc7kfzQg,PR,BR,Londrina
